[AGENT] 10:28:59 | Phase 0~2 - Initialization & Auth
[AGENT] 10:28:59 | Login SUCCESS - Session Secured.
[AGENT] 10:28:59 | Phase 3 - Establishing Interactive Reverse Shell
[AGENT] 10:28:59 | Starting local listener on port 4444 with Named Pipe...
[AGENT] 10:29:00 | Triggering Reverse Shell via commandi.php...
[AGENT] 10:29:03 | SUCCESS: Reverse Connection established! Shell is active.
[AGENT] 10:29:03 | Phase 4 - Internal Network & Docker Socket Scan (via Shell)
[AGENT] 10:29:05 | Phase 5 - Executing Multi-Payload Attack Chain
[AGENT] 10:29:07 | ------------------------------------------------
[AGENT] 10:29:07 | [Injecting Payload] : get_images.php
[AGENT] 10:29:13 | ------------------------------------------------
[AGENT] 10:29:13 | [Injecting Payload] : escape_shadow.php
[AGENT] 10:29:19 | ------------------------------------------------
[AGENT] 10:29:19 | [Injecting Payload] : get.php
[AGENT] 10:29:25 | ------------------------------------------------
[AGENT] 10:29:25 | [Injecting Payload] : vault_exec.php
[AGENT] 10:29:35 | ------------------------------------------------
[AGENT] 10:29:35 | [Injecting Payload] : create_token.php
[AGENT] 10:29:45 | ------------------------------------------------
[AGENT] 10:29:45 | [Injecting Payload] : scan_token.php
[AGENT] 10:29:55 | Phase 6 - Result Extraction & Cleanup
[AGENT] 10:30:01 | Extracting results from Reverse Shell Log...
[AGENT] 10:30:01 | --- [Key Exfiltrated Data] ---
[AGENT] 10:30:01 | ------------------------------
[AGENT] 10:30:01 | === Full Scenario COMPLETE === Report: /home/kali/.openclaw/workspace/logs/agent_report.log
